=> using pre-trained model 'resnet34'
Epoch: [0][159/259]	Time 1.928 (1.933)	Data 0.001 (0.009)	Loss 0.1467 (0.1695)	
Epoch: [0][160/259]	Time 1.906 (1.933)	Data 0.001 (0.009)	Loss 0.1461 (0.1694)	
Epoch: [0][161/259]	Time 1.861 (1.932)	Data 0.001 (0.009)	Loss 0.1325 (0.1691)	
Epoch: [0][162/259]	Time 1.845 (1.932)	Data 0.001 (0.009)	Loss 0.1224 (0.1689)	
Epoch: [0][163/259]	Time 1.875 (1.932)	Data 0.001 (0.009)	Loss 0.1565 (0.1688)	
Epoch: [0][164/259]	Time 1.896 (1.931)	Data 0.001 (0.009)	Loss 0.1451 (0.1686)	
Epoch: [0][165/259]	Time 1.844 (1.931)	Data 0.000 (0.009)	Loss 0.1197 (0.1683)	
Epoch: [0][166/259]	Time 1.903 (1.931)	Data 0.001 (0.009)	Loss 0.1252 (0.1681)	
Epoch: [0][167/259]	Time 1.900 (1.930)	Data 0.000 (0.009)	Loss 0.1258 (0.1678)	
Epoch: [0][168/259]	Time 1.842 (1.930)	Data 0.001 (0.009)	Loss 0.1431 (0.1677)	
Epoch: [0][169/259]	Time 1.808 (1.929)	Data 0.001 (0.009)	Loss 0.1264 (0.1674)	
Epoch: [0][170/259]	Time 1.891 (1.929)	Data 0.001 (0.009)	Loss 0.1187 (0.1672)	
Epoch: [0][171/259]	Time 1.864 (1.929)	Data 0.000 (0.009)	Loss 0.1356 (0.1670)	
Epoch: [0][172/259]	Time 1.915 (1.929)	Data 0.001 (0.009)	Loss 0.1179 (0.1667)	
Epoch: [0][173/259]	Time 1.897 (1.928)	Data 0.000 (0.009)	Loss 0.1175 (0.1664)	
Epoch: [0][174/259]	Time 1.907 (1.928)	Data 0.001 (0.009)	Loss 0.1341 (0.1662)	
Epoch: [0][175/259]	Time 1.849 (1.928)	Data 0.001 (0.009)	Loss 0.1270 (0.1660)	
Epoch: [0][176/259]	Time 1.865 (1.927)	Data 0.001 (0.009)	Loss 0.1242 (0.1658)	
Epoch: [0][177/259]	Time 1.861 (1.927)	Data 0.001 (0.009)	Loss 0.1323 (0.1656)	
Epoch: [0][178/259]	Time 1.900 (1.927)	Data 0.001 (0.009)	Loss 0.1321 (0.1654)	
Epoch: [0][179/259]	Time 1.874 (1.927)	Data 0.000 (0.008)	Loss 0.1338 (0.1652)	
Epoch: [0][180/259]	Time 1.888 (1.926)	Data 0.001 (0.008)	Loss 0.1440 (0.1651)	
Epoch: [0][181/259]	Time 1.893 (1.926)	Data 0.001 (0.008)	Loss 0.1325 (0.1649)	
Epoch: [0][182/259]	Time 1.871 (1.926)	Data 0.001 (0.008)	Loss 0.1327 (0.1647)	
Epoch: [0][183/259]	Time 1.835 (1.925)	Data 0.001 (0.008)	Loss 0.1424 (0.1646)	
Epoch: [0][184/259]	Time 1.863 (1.925)	Data 0.001 (0.008)	Loss 0.1209 (0.1644)	
Epoch: [0][185/259]	Time 1.934 (1.925)	Data 0.001 (0.008)	Loss 0.1337 (0.1642)	
Epoch: [0][186/259]	Time 1.896 (1.925)	Data 0.001 (0.008)	Loss 0.1290 (0.1640)	
Epoch: [0][187/259]	Time 1.871 (1.925)	Data 0.001 (0.008)	Loss 0.1298 (0.1638)	
Epoch: [0][188/259]	Time 1.896 (1.925)	Data 0.001 (0.008)	Loss 0.1297 (0.1637)	
Epoch: [0][189/259]	Time 1.953 (1.925)	Data 0.001 (0.008)	Loss 0.1373 (0.1635)	
Epoch: [0][190/259]	Time 1.897 (1.925)	Data 0.001 (0.008)	Loss 0.1266 (0.1633)	
Epoch: [0][191/259]	Time 1.863 (1.924)	Data 0.001 (0.008)	Loss 0.1233 (0.1631)	
Epoch: [0][192/259]	Time 1.820 (1.924)	Data 0.001 (0.008)	Loss 0.1369 (0.1630)	
Epoch: [0][193/259]	Time 1.912 (1.924)	Data 0.001 (0.008)	Loss 0.1317 (0.1628)	
Epoch: [0][194/259]	Time 1.896 (1.923)	Data 0.001 (0.008)	Loss 0.1278 (0.1627)	
Epoch: [0][195/259]	Time 1.868 (1.923)	Data 0.001 (0.008)	Loss 0.1240 (0.1625)	
Epoch: [0][196/259]	Time 1.922 (1.923)	Data 0.001 (0.008)	Loss 0.1369 (0.1623)	
Epoch: [0][197/259]	Time 1.920 (1.923)	Data 0.001 (0.008)	Loss 0.1327 (0.1622)	
Epoch: [0][198/259]	Time 1.894 (1.923)	Data 0.001 (0.008)	Loss 0.1164 (0.1619)	
Epoch: [0][199/259]	Time 1.966 (1.923)	Data 0.001 (0.008)	Loss 0.1338 (0.1618)	
Epoch: [0][200/259]	Time 1.816 (1.923)	Data 0.001 (0.008)	Loss 0.1247 (0.1616)	
Epoch: [0][201/259]	Time 1.857 (1.922)	Data 0.001 (0.008)	Loss 0.1228 (0.1614)	
Epoch: [0][202/259]	Time 1.904 (1.922)	Data 0.001 (0.008)	Loss 0.1264 (0.1613)	
Epoch: [0][203/259]	Time 1.876 (1.922)	Data 0.001 (0.008)	Loss 0.1280 (0.1611)	
